PriceBand,count,median_actual_price,median_predicted_price,median_prediction_error,mean_prediction_error,median_percent_error,mean_percent_error,overprediction_rate,median_percent_error_%,mean_percent_error_%,overprediction_rate_%
Under $500K,1767,400000.0,535809.06,144427.19999999995,185167.69664629313,0.3959670918367346,1.189004197858581,0.9105829088851161,39.59670918367346,118.9004197858581,91.0582908885116
$500K–$1M,5312,745000.0,807903.8300000001,66808.90000000002,90033.8241810994,0.09193453626843194,0.1362233276925254,0.6714984939759037,9.193453626843194,13.62233276925254,67.14984939759037
$1M–$2M,3987,1350000.0,1192375.5,-160743.1000000001,-135347.00484073238,-0.11948272727272727,-0.08516523028793654,0.30198143967895663,-11.948272727272727,-8.516523028793655,30.198143967895664
$2M+,1792,2820000.0,2060949.2,-872703.7,-1206238.8936662946,-0.2975308562619292,-0.28295166723591286,0.12555803571428573,-29.75308562619292,-28.295166723591286,12.555803571428573
