Segment,Count,R2,MAPE,MdAPE,MAPE_%,MdAPE_%,MAE,RMSE
Overall,12858,0.615316542444136,0.3691180645398506,0.19959746765143702,36.91180645398506,19.959746765143702,377141.25938512984,952920.219385451
Under $500K,1767,-7.164908114418823,1.2034177263868995,0.39603576470588225,120.34177263868995,39.60357647058822,191243.35326202607,254206.7267025216
$500K–$1M,5312,-1.5241533519328208,0.216156321322383,0.15627394409937886,21.6156321322383,15.627394409937887,155013.05047251505,222173.51867196977
$1M–$2M,3987,-1.3604914703573399,0.21769643191718763,0.18338967567567563,21.769643191718764,18.33896756756756,308889.887383998,414137.1237368901
$2M+,1792,0.35840952812777405,0.33677617098740076,0.31397383599434103,33.67761709874008,31.397383599434104,1370748.8855189735,2433902.5832579858
